                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.81377,                0.41977,                 1.0172,                 0.9622,                0.96216,                0.98069,                0.72567,                 0.9415,                0.46093,                 1.2081,              0.0014139,              0.0014139,              0.0014139
                     77,                0.83202,                0.45591,                  1.033,                0.98295,                0.96757,                0.98045,                0.74959,                0.93074,                0.45671,                 1.2002,               0.001406,               0.001406,               0.001406
                     78,                0.81912,                0.44034,                 1.0238,                0.99076,                0.96216,                0.98579,                0.75712,                0.90605,                0.43421,                 1.1908,              0.0013981,              0.0013981,              0.0013981
                     79,                0.85907,                 0.4436,                 1.0353,                0.99258,                0.95676,                0.97961,                0.74893,                0.94184,                0.45392,                 1.1933,              0.0013902,              0.0013902,              0.0013902
                     80,                0.84959,                0.45707,                 1.0237,                0.95941,                0.96757,                0.97472,                0.74113,                0.95629,                0.46189,                  1.197,              0.0013822,              0.0013822,              0.0013822
                     81,                0.87161,                0.47727,                 1.0385,                0.98888,                0.96164,                0.98148,                0.73169,                 0.9525,                0.45529,                 1.2156,              0.0013743,              0.0013743,              0.0013743
                     82,                0.82354,                0.43529,                 1.0212,                0.98721,                0.96216,                0.98415,                0.71535,                0.99979,                0.45158,                 1.2288,              0.0013664,              0.0013664,              0.0013664
                     83,                0.84684,                0.44762,                 1.0349,                0.97727,                0.94595,                0.98263,                0.73259,                0.99187,                0.47377,                 1.2249,              0.0013585,              0.0013585,              0.0013585
                     84,                0.82065,                0.44677,                 1.0166,                0.99444,                0.96745,                0.97813,                0.72718,                0.95005,                0.45982,                 1.2035,              0.0013506,              0.0013506,              0.0013506
                     85,                0.83018,                 0.4263,                 1.0278,                0.98351,                0.96737,                 0.9831,                0.74096,                0.94545,                 0.4519,                 1.1761,              0.0013426,              0.0013426,              0.0013426
                     86,                0.83009,                0.44381,                 1.0428,                0.96738,                0.96182,                0.97411,                0.73362,                0.92773,                0.46434,                 1.1908,              0.0013347,              0.0013347,              0.0013347
                     87,                0.80841,                0.41881,                 1.0109,                0.99075,                0.95135,                 0.9783,                0.72584,                0.99357,                0.47669,                 1.2241,              0.0013268,              0.0013268,              0.0013268
                     88,                0.85176,                0.43457,                  1.035,                0.97893,                0.96216,                0.97983,                0.73702,                0.95838,                0.44998,                 1.1877,              0.0013189,              0.0013189,              0.0013189
                     89,                0.83629,                0.46452,                 1.0367,                 0.9835,                 0.9667,                0.97617,                0.72753,                0.97094,                0.46332,                 1.2224,               0.001311,               0.001311,               0.001311
                     90,                0.81937,                0.44497,                  1.025,                0.98269,                0.96216,                0.98244,                0.72385,                0.96808,                0.45737,                 1.1994,               0.001303,               0.001303,               0.001303
